make,model,colour,capacity,network,grade,condition,count
Alcatel,2000X,Black,"Not Applicable",Damaged,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,2001X,Black,"Not Applicable",NOS-Portugal,Unknown,Non-working,2
Alcatel,2001X,Black,"Not Applicable",NOS-Portugal,"Grade D","Non-working - Need Battery Cover",2
Alcatel,2001X,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,2001X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,2004,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,18
Alcatel,2004,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,20
Alcatel,2004,Black,"Not Applicable",Unlocked,"Grade D",Working,4
Alcatel,2004,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,2004,Black,"Not Applicable",Tesco-Mobile,Unknown,BER,8
Alcatel,2005,Black,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,2008G,Black,"Not Applicable",Unlocked,Unknown,"Non-working - DeBrand",2
Alcatel,2008G,White,"Not Applicable",Unlocked,Unknown,Non-working,6
Alcatel,2008G,White,"Not Applicable",NOS-Portugal,Unknown,Non-working,2
Alcatel,2008G,White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Alcatel,2008G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",4
Alcatel,2008G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",24
Alcatel,2008G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery Cover",4
Alcatel,2008G,Black,"Not Applicable",Unlocked,Unknown,"Non-working - Need Repair - HardWare",2
Alcatel,2008G,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,2010G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Alcatel,2010G,Pink,"Not Applicable",Unknown,Unknown,BER,4
Alcatel,2010G,Pink,"Not Applicable",Vodafone,"Grade B - Good Condition",Working,2
Alcatel,2010G,Black,"Not Applicable",Damaged,Unknown,"Power On Tested-Good LCD",2
Alcatel,2010G,Grey,"Not Applicable",Vodafone,"Brand New","Brand New",34
Alcatel,2010G,Grey,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,2010G,Grey,"Not Applicable",Vodafone,"Grade B B2B",Working,2
Alcatel,2010G,Grey,"Not Applicable",Unlocked,"Brand New","Brand New",2
Alcatel,2010G,Grey,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,2010G,Grey,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Alcatel,2010G,Grey,"Not Applicable",Foreign,Unknown,Non-working,2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition",Working,4
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade D",BER,4
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade B - Good Condition",BER,2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition",BER,2
Alcatel,2012G,White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Alcatel,2012G,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,2012G,White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Alcatel,2012G,Brown,"Not Applicable",Unlocked,"Insurance Grade","Brand New",2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,18
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade B - Good Condition",Working,10
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,74
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Damaged,Unknown,"Non-working - Need Repair - HardWare",2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,Unknown,Non-working,52
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Insurance Grade",Working,12
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Not Graded","Non-working - Need Repair - Software",2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Brand New","Brand New",18
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Broken LCD",2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery",4
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Not Graded",Working,2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,2012G,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",2
Alcatel,2012G,Brown,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,2045X,Black,"Not Applicable",O2,"Grade A - Very Good Condition",Working,2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B B2B","Power On Tested-Good LCD",2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,30
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,32
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,10
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B B2B",BER,2
Alcatel,2045X,Black,"Not Applicable",Damaged,"Grade B - Good Condition",BER,2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",BER,2
Alcatel,2045X,Black,"Not Applicable",Three(3),"Grade C - Acceptable Condition","Non-working - Unlock",2
Alcatel,2045X,Black,"Not Applicable",Virgin,"Grade A - Very Good Condition","Power On Tested-Good LCD",2
Alcatel,2045X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Minor Issue",2
Alcatel,2045X,Black,"Not Applicable",O2,"Insurance Grade",Working,4
Alcatel,2045X,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",8
Alcatel,2045X,Black,"Not Applicable",O2,"Grade C - Acceptable Condition",Working,2
Alcatel,2051,Silver,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,6
Alcatel,2051,Silver,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,2051,Silver,"Not Applicable",Unlocked,Unknown,Non-working,8
Alcatel,2051,Silver,4GB,NOS-Portugal,Unknown,Non-working,2
Alcatel,2051,Silver,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Alcatel,2051,Silver,"Not Applicable",NOS-Portugal,Unknown,Non-working,2
Alcatel,2051,Silver,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Alcatel,2051,Silver,"Not Applicable",Unlocked,Unknown,"Non-working - Need Repair - HardWare",6
Alcatel,2051,Silver,"Not Applicable",Unlocked,"Grade B - Good Condition","Working - Need Battery Cover",8
Alcatel,2051,Silver,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",4
Alcatel,2051,Silver,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery",4
Alcatel,2051,Silver,"Not Applicable",Unlocked,"Grade B - Good Condition","Power On Tested-Good LCD",2
Alcatel,2051,Silver,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,2051,Silver,8GB,Virgin,"Grade C - Acceptable Condition",Working,2
Alcatel,30.03G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Alcatel,3000G,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,3003g,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,3003g,Black,"Not Applicable",Vodafone,"Grade B - Good Condition",Working,2
Alcatel,3003g,Black,"Not Applicable","EE Network","Grade C - Acceptable Condition",Working,2
Alcatel,4013X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,34
Alcatel,4013X,Black,"Not Applicable",Unlocked,"Grade D",Working,22
Alcatel,4013X,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,8
Alcatel,4013X,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,12
Alcatel,4013X,Black,"Not Applicable",Tesco-Mobile,"Grade D",BER,2
Alcatel,4013X,Pink,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,20
Alcatel,4013X,Pink,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,10
Alcatel,4013X,Pink,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Alcatel,4013X,Pink,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,6
Alcatel,4013X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,24
Alcatel,4013X,Pink,"Not Applicable",Unlocked,"Grade B B2B",Working,2
Alcatel,4013X,Pink,"Not Applicable",Unlocked,"Grade D",Working,4
Alcatel,4013X,Pink,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,4013X,Black,2GB,"Not Applicable",Unknown,Non-working,6
Alcatel,4013X,Black,2GB,"Not Applicable",Unknown,"Power On Tested-Broken LCD",4
Alcatel,4013X,Black,2GB,NOS-Portugal,"Grade C - Acceptable Condition","Working - Need Battery Cover and Battery",4
Alcatel,4013X,Black,2GB,NOS-Portugal,"Grade D","Working - Need Battery Cover and Battery",2
Alcatel,4013X,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",2
Alcatel,4013X,Black,4GB,NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery",2
Alcatel,4013X,Black,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery",8
Alcatel,4013X,White,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery",2
Alcatel,4013X,Black,4GB,NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",16
Alcatel,4013X,Black,4GB,NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",6
Alcatel,4013X,Black,4GB,NOS-Portugal,"Grade A - Very Good Condition","Non-working - Need Battery Cover And Battery",2
Alcatel,4013X,Black,4GB,NOS-Portugal,Unknown,Non-working,4
Alcatel,4013X,Black,"Not Applicable",NOS-Portugal,Unknown,"Non-working - Need Repair - HardWare",2
Alcatel,4013X,Black,4GB,Unlocked,"Grade C - Acceptable Condition","Working – Major Screen Burn",2
Alcatel,4013X,Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,4013X,Black,4GB,Damaged,"Not Graded","iOS 7 Locked",2
Alcatel,4013X,Black,4GB,Damaged,Unknown,Non-working,2
Alcatel,4013X,Blue,4GB,Damaged,Unknown,Non-working,2
Alcatel,4015x,Blue,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Alcatel,4015x,Blue,"Not Applicable",Tesco-Mobile,"Grade D","Power On Tested-Good LCD",2
Alcatel,4015x,Blue,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,4015x,Blue,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,4015x,Pink,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Alcatel,4015x,Pink,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Alcatel,4015x,Pink,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,6
Alcatel,4015x,Pink,"Not Applicable",Unknown,"Grade D","Power On Tested-Broken LCD",2
Alcatel,4015x,Pink,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Good LCD",2
Alcatel,4015x,Blue,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Alcatel,4015x,Pink,"Not Applicable",Unlocked,"Grade D",Working,6
Alcatel,4015x,Pink,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Alcatel,4015x,"Black Sapphire","Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,4015x,"Bluish Black","Not Applicable",Unlocked,"Grade B - Good Condition",Working,2
Alcatel,4015x,"Bluish Black",4GB,Foreign,Unknown,Non-working,2
Alcatel,4015x,Pink,4GB,Unlocked,"Grade B - Good Condition",Working,2
Alcatel,4015x,Pink,4GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,4015x,"Bluish Black",4GB,Foreign,"Grade D",Working,2
Alcatel,4015x,"Black Sapphire","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,4030X,Black,"Not Applicable",Damaged,"Grade D",BER,2
Alcatel,4030X,White,"Not Applicable",Damaged,"Not Graded",Working,2
Alcatel,4033X,"Bluish Black",4GB,Unlocked,"Insurance Grade","Brand New",2
Alcatel,4033X,"Bluish Black",4GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,4033X,"Bluish Black","Not Applicable",Unknown,Unknown,Non-working,2
Alcatel,4033X,"Bluish Black",4GB,Foreign,"Grade C - Acceptable Condition",BER,2
Alcatel,5050X,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,"8085 PLUS",White,2GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Alcatel,"8085 PLUS",White,2GB,"Not Applicable","Grade A - Very Good Condition",Working,2
Alcatel,"8085 PLUS",Silver,32GB,"Not Applicable","Insurance Grade",Working,2
Alcatel,"A3 10\" (9026X)",White,16GB,Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,"ALC PIXI 3 4IN BLK",Black,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,"ALC PIXI 3 4IN BLK",Black,"Not Applicable",Virgin,"Grade A - Very Good Condition",Working,4
Alcatel,"ALC PIXI 3 4IN BLK",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Virgin,"Grade A - Very Good Condition","Non-working - Need Battery Cover And Battery",4
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Unlocked,"Grade B B2B",Working,24
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Unlocked,"Grade B - Good Condition",Working,12
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Unlocked,"Grade A - Very Good Condition",Working,10
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Virgin,"Grade B - Good Condition","Non-working - Need Repair - HardWare",2
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Unlocked,"Grade C - Acceptable Condition",Non-working,2
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Alcatel,"ALC PIXI 3 4IN BLK",Black,2GB,Virgin,"Grade C - Acceptable Condition","Working - Need Battery Cover and Battery",2
Alcatel,"ALCATEL 2010 BACK COVER",Anthracite,"Not Applicable","Not Applicable","Brand New","Brand New",10
Alcatel,"ALCATEL 2010 BACK COVER","Rose Fresh","Not Applicable","Not Applicable","Brand New","Brand New",10
Alcatel,"BATTERY ALACATEL CAB2170000C1",Black,"Not Applicable","Not Applicable","Brand New","Brand New",28
Alcatel,"BATTERY ALACATEL CAB2170000C1",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,14
Alcatel,"BATTERY ALCATEL CAB22B0000C1",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,2
Alcatel,"BATTERY ALCATEL CAB23V0000C1",Black,"Not Applicable","Not Applicable","Brand New","Brand New",22
Alcatel,"BATTERY ALCATEL TLIB5AF",Black,"Not Applicable","Not Applicable","Brand New","Brand New",10
Alcatel,"CCB3160A15C1 - HEADSET",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,946
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade D",Working,72
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,Unknown,BER,2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,384
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,10
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover",2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",4
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Damaged,"Grade D",BER,10
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade D",BER,38
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition",Working,60
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade B B2B",Working,18
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade B B2B",Non-working,2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Not Graded",Working,4
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - DeBrand",2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade D",Working,4
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade D",BER,2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Need Battery Cover and Battery",2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition",Working,2
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade D","Working - Need Battery Cover and Battery",6
Alcatel,"CORDLESS PHONE ALCATEL F102",Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",2
Alcatel,"DABI OT-3040G",Black,"Not Applicable",Unlocked,"Brand New","Brand New",6
Alcatel,"DABI OT-3040G",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,28
Alcatel,"DABI OT-3040G",White,"Not Applicable",Unlocked,"Brand New","Brand New",14
Alcatel,"DABI OT-3040G",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover",2
Alcatel,"DABI OT-3040G",White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,10
Alcatel,"DABI OT-3040G",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,"DABI OT-3040G",Black,"Not Applicable",Unlocked,"Grade D",Working,2
Alcatel,"DABI OT-3040G",Black,"Not Applicable",NOS-Portugal,"Grade D","Non-working - Need Battery Cover And Battery",6
Alcatel,"DABI OT-3040G",Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",6
Alcatel,"DABI OT-3040G",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,2
Alcatel,"DABI OT-3040G",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,"GO PLAY",Black,8GB,NOS-Portugal,Unknown,Non-working,2
Alcatel,"GO PLAY",Red,8GB,Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,"GO PLAY",Red,8GB,Unlocked,"Grade A - Very Good Condition","Non-working - Need Repair - HardWare",2
Alcatel,"GO PLAY",Red,4GB,NOS-Portugal,Unknown,Non-working,2
Alcatel,"GO PLAY",Red,4GB,Damaged,Unknown,Non-working,2
Alcatel,"IDOL 2",Blue,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,"IDOL 3 4.7",Gold,8GB,Unlocked,"Grade A - Very Good Condition",Working,2
Alcatel,"IDOL 3 4.7",Gold,8GB,Unlocked,"Insurance Grade","Brand New",4
Alcatel,"IDOL 3 4.7",Grey,8GB,Unlocked,"Grade B - Good Condition",Working,2
Alcatel,"IDOL 3 5.5INCH",Grey,16GB,Unlocked,"Grade A - Very Good Condition",Working,6
Alcatel,"IDOL 3 5.5INCH",Grey,16GB,Unlocked,"Grade C - Acceptable Condition",Working,2
Alcatel,"IDOL 3 5.5INCH",Grey,"Not Applicable",Damaged,Unknown,"Power On Tested-Good LCD",2
Alcatel,"IDOL 3 5.5INCH",Grey,"Not Applicable",Damaged,Unknown,Non-working,2
Alcatel,"IDOL 3 5.5INCH",Grey,16GB,Unlocked,"Insurance Grade","Brand New",2
Alcatel,"IDOL 4",Black,4GB,NOS-Portugal,Unknown,Non-working,4
Alcatel,"IDOL 4 VR Edition",Grey,16GB,Unlocked,"Grade A - Very Good Condition",Working,8
Alcatel,"IDOL MINI - 6012",Grey,4GB,Unlocked,"Grade D",Working,4
Alcatel,"IDOL MINI - 6012",Pink,4GB,Unlocked,"Grade C - Acceptable Condition",Working,2
